	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
18822	4712	5425	5458	5216	4699	4588
66158	345	365	466	426	442	397
105245342	0	0	0	0	0	0
78372	325	348	361	318	304	306
233038	2	0	3	1	1	1
68682	2129	2580	2473	2233	2154	2088
208943	2	1	2	4	2	2
233987	290	262	216	193	193	180
12416	113	159	125	127	102	108
75234	1535	1279	1618	1496	1412	1420
17096	4793	4927	4690	3894	3901	3876
244958	0	0	0	0	0	0
213464	1217	1356	1234	1141	1190	1198
17304	2903	2874	3388	3035	2671	2758
67997	110	127	113	111	91	127
382118	29	26	16	32	36	32
226026	868	1015	853	656	745	726
16323	4	9	6	2	9	4
232969	15	10	12	8	11	18
13645	10	11	9	7	14	3
72148	0	0	0	0	0	1
13712	559	560	600	661	633	648
17147	0	0	1	0	0	0
94040	1	1	0	2	0	0
11777	2676	2356	2247	2036	2239	2170
75613	696	810	866	820	750	716
102633230	0	0	0	0	0	0
19173	1586	1979	2003	1951	1965	1722
229589	604	565	592	620	668	666
66438	0	0	0	0	1	0
20935	455	628	565	503	542	511
100041546	156	54	109	79	58	65
69672	935	900	935	903	879	848
18415	796	821	751	643	772	691
76969	13	27	16	12	13	12
50878	52	72	64	37	32	34
27359	3	10	4	1	2	5
11735	0	0	0	0	0	0
227700	572	620	701	664	656	602
23854	921	1071	1090	876	916	846
11428	1177	1352	1324	1415	1421	1448
212153	126	117	119	106	122	115
22781	0	1	0	1	2	1
56737	655	602	618	682	748	667
319924	363	324	371	371	367	330
244864	306	299	306	252	261	273
20666	0	0	0	1	0	0
107733	280	325	278	324	332	287
16165	0	0	0	0	0	0
52014	2704	2474	2242	2459	2700	2619
407790	1	0	0	0	0	0
244144	407	282	357	387	409	430
67917	78	82	78	56	73	56
104910	4	5	6	6	4	6
192185	3571	2978	3671	3565	3437	3810
192292	1664	1692	1715	1569	1502	1526
115489417	179	235	204	167	181	174
109880	661	666	588	630	666	658
67899	335	301	311	257	276	279
223722	211	215	232	226	204	219
76416	58	52	44	38	46	37
74142	1032	1228	1145	1215	1211	1113
19707	731	842	819	655	623	615
13809	0	0	0	0	0	0
15962	0	1	0	0	0	0
404337	1	0	0	0	0	1
12050	901	814	836	942	987	1019
226098	19	14	24	23	17	12
212198	86	96	108	91	90	94
66917	887	815	715	678	766	786
106052	280	287	250	243	253	232
20910	644	624	686	712	718	699
11501	24855	34196	31028	30964	29641	28408
20306	169	477	242	337	434	349
14205	4	1	5	3	1	3
19038	103	128	97	112	85	78
54125	206	231	241	234	166	220
